0.005 0.0 0 449.79819342 0.0 1.0
0.015 0.0 0 3123.34166131 0.0 1.0
0.025 0.0 0 8401.0893993 0.0 1.0
0.035 0.0 0 16207.6124439 0.0 1.0
0.045 0.0 0 26467.7826534 0.0 1.0
0.055 0.0 0 39106.8423818 0.0 1.0
0.065 0.0 0 54050.4716649 0.0 1.0
0.075 0.0 0 71224.8528327 0.0 1.0
0.085 0.0 0 90556.7324676 0.0 1.0
0.095 0.0 0 111973.480647 0.0 1.0
0.105 7.70376365479e-05 10.431138458 135403.147414 10470.2514949 0.72192357144
0.115 0.000167091469174 26.8640501586 160774.516445 33310.1956203 0.544823339125
0.125 0.000129915472181 24.4263375825 188017.155866 29155.0549596 0.606215885171
0.135 0.000150335979522 32.6321481413 217061.466224 39970.4568513 0.570880559493
0.145 9.75377856561e-05 24.1736404934 247838.725586 26633.650582 0.672183533123
0.155 0.000109297425728 30.6340061827 280281.13177 34999.4418103 0.646626784976
0.165 0.000126983727836 39.9137592037 314321.841735 47404.3748675 0.611651232078
0.175 0.000172336089596 60.2995374695 349895.008125 74958.3379805 0.53714911229
0.185 0.000167681338247 64.8819149425 386935.813018 80475.7838023 0.543949282152
0.195 0.000121291768667 51.5951505185 425380.477879 60623.5011282 0.622487158104
0.205 0.000131280726386 61.067380979 465166.385502 73049.6141228 0.603717584726
0.215 0.000135376593033 68.5319547637 506231.93588 82484.2828025 0.596344539706
0.225 0.000124400190397 68.2355849563 548516.724442 80662.1443234 0.616522449495
0.235 9.36994398933e-05 55.4664601244 591961.490779 60250.5767103 0.680968271756
0.245 0.000104913527408 66.7783152238 636508.149843 75355.2582786 0.65592367023
0.255 0.000111276419031 75.9016239885 682099.807396 87168.9402501 0.642515744118
0.265 7.55505403396e-05 55.0522261443 728680.77312 54778.4735386 0.725819661807
0.275 6.57988540209e-05 51.072844896 776196.571443 47566.6067566 0.752448691838
0.285 8.88960005247e-05 73.3031042275 824593.950175 78076.7144931 0.69229065005
0.295 0.000127139321994 111.09699512 873820.887025 131982.607795 0.611360318231
0.305 0.000142524749621 131.668154017 923826.594096 159951.058512 0.583899412294
0.315 0.000105013206569 102.341830259 974561.520428 115520.699875 0.655709312557
0.325 0.000111300970367 114.192274929 1025977.35269 131151.942352 0.642465070907
0.335 8.73695300875e-05 94.1867136441 1078027.01411 99647.9131544 0.695968010036
0.345 7.51987442069e-05 85.024562676 1130664.66166 84423.2562923 0.726747502342
0.355 5.38862302335e-05 63.7929809689 1183845.68177 53330.1008257 0.787754419828
0.365 6.41711057836e-05 79.4134557742 1237526.68439 73023.5580744 0.757085069568
0.375 4.40711688852e-05 56.925208205 1291665.49572 42113.9749975 0.81943312237
0.385 5.46439351824e-05 73.5628212375 1346221.14956 61991.7176718 0.785410419678
0.395 3.90831555124e-05 54.7615148878 1401153.87742 37442.6963587 0.836529029289
0.405 4.51484798087e-05 65.7553791052 1456425.09745 49398.7556031 0.815832103695
0.415 3.3619351936e-05 50.8323727944 1511997.4023 31312.0924301 0.856093462903
0.425 2.97607597598e-05 46.6599472638 1567834.54591 26304.8930481 0.870470659172
0.435 3.30375555282e-05 53.6497336454 1623901.42938 32638.0079687 0.858230766911
0.445 3.48478860822e-05 58.5501666708 1680164.08607 36993.9975399 0.851615074491
0.455 2.45802240828e-05 42.6857631239 1736589.66575 20802.9950686 0.890550362646
0.465 3.59076294223e-05 64.3876370829 1793146.41815 41543.7072276 0.847789452549
0.475 2.59508330201e-05 48.0039463118 1849803.67584 24400.5913146 0.885148318892
0.485 3.61720692171e-05 68.9632015526 1906531.83645 44723.2853258 0.846840190133
0.495 2.12076322373e-05 41.6369940919 1963302.34446 18045.6004833 0.904127936171
0.505 2.98912027296e-05 60.3828501501 2020087.67249 34151.6973961 0.869976743891
0.515 1.90624609226e-05 39.590087414 2076861.30215 15726.4066989 0.912981617926
0.525 1.78313901643e-05 38.0450131245 2133597.70461 14296.9044571 0.918141319528
0.535 1.62067088445e-05 35.4971057932 2190272.32079 12306.9218606 0.925040675513
0.545 1.55871537639e-05 35.022176332 2246861.54141 11745.3021127 0.927699060488
0.555 2.85248755196e-05 65.7025634174 2303342.68671 35887.1615628 0.875178247205
0.565 1.88590389392e-05 44.5015607694 2359693.98615 17521.279782 0.913830203081
0.575 1.83102009016e-05 44.2355147119 2415894.55788 16994.8030434 0.916127598133
0.585 2.35563010189e-05 58.2293949857 2471924.38826 27445.7777926 0.894629223549
0.595 2.99424673569e-05 75.687500374 2527764.3112 42862.0928803 0.869782786533
0.605 4.39728928652e-05 113.599394994 2583395.98766 83922.4017926 0.819763202589
0.615 4.76152647497e-05 125.647254506 2638801.97173 97576.3072864 0.807704646974
0.625 5.9734464946e-05 160.922572029 2693965.23723 142489.473152 0.770017179051
0.635 6.18857408612e-05 170.115862287 2748870.09382 153501.173529 0.763691827368
0.645 6.56859456321e-05 184.150627831 2803501.20652 171359.622721 0.752768459484
0.655 9.36683662358e-05 267.689584511 2857844.06485 290743.54719 0.681040326418
0.665 0.000114014323021 331.996581448 2911884.86368 383878.782765 0.636913622525
0.675 0.000102925050574 305.235608999 2965610.48353 342362.278675 0.660229319501
0.685 0.000125706558639 379.509165394 3019008.47101 449704.463687 0.614049655111
0.695 0.00014667100157 450.58314665 3072067.01957 549900.571279 0.576915862862
0.705 0.000213473080942 667.055335921 3124774.95045 832933.827564 0.483707426719
0.715 0.0002216821218 704.311078322 3177121.69391 878061.251297 0.474290916452
0.725 0.000257984412529 833.056762394 3229097.27075 1024629.05446 0.436696085126
